Generation,FamilyID,M2BW_PD00,SurRate_PD00,gAnimalEBV_PD00,sAnimalEBV_PD00,gStdAnimalEBV_PD00,sStdAnimalEBV_PD00,gStdAnimalEBV,sStdAnimalEBV,SelIndex,FamilyClass,SireID,DamID,EnvLabel,TankID,M2Age2,M1BW,M2BW,ADG,M2BL,gAnimalEBV,SurRate,sAnimalEBV,sReSurRate,Inbreeding,M2BWAllEnvs
G02,MRYGY18G0201073,30.67434555,0.637102967,3.933940197,0.1058133,0.499328997,0.50167726,0.499328997,0.50167726,61.57564416,BF,MRYGY17G010A178,MRYGY17G010A804,PD00,P10,160,0.83,27.67857143,0.253571429,9.92244898,3.435743649,0.653333333,0.1058133,0.510546805,0,30.67434555
G02,MRYGY18G0201073,30.67434555,0.637102967,3.933940197,0.1058133,0.499328997,0.50167726,0.499328997,0.50167726,61.57564416,BF,MRYGY17G010A178,MRYGY17G010A804,PD00,P11,146,1.24,33.8311828,0.354516129,10.80107527,4.458921505,0.62,0.1058133,0.510546805,0,30.67434555
G02,MRYGY18G0201074,33.61090047,0.716619273,5.295783886,0.0718098,0.50121457,0.500323951,0.50121457,0.500323951,66.70439595,BF,MRYGY17G010A178,MRYGY17G010B096,PD00,P10,158,0.98,37.37802198,0.343406593,11.1010989,5.592401099,0.606666667,0.0718098,0.496982629,0,33.61090047
G02,MRYGY18G0201074,33.61090047,0.716619273,5.295783886,0.0718098,0.50121457,0.500323951,0.50121457,0.500323951,66.70439595,BF,MRYGY17G010A178,MRYGY17G010B096,PD00,P11,144,1.05,30.75416667,0.322833333,10.35166667,5.070849167,0.8,0.0718098,0.496982629,0,33.61090047
G02,MRYGY18G0201075,35.1265896,0.576685934,6.304742775,-0.0077005,0.502611531,0.497159528,0.502611531,0.497159528,66.86458888,BF,MRYGY17G010A178,MRYGY17G010E703,PD00,P10,155,1.27,36.83953488,0.33872093,10.97906977,6.345460465,0.573333333,-0.0077005,0.465306425,0.03125,35.1265896
G02,MRYGY18G0201075,35.1265896,0.576685934,6.304742775,-0.0077005,0.502611531,0.497159528,0.502611531,0.497159528,66.86458888,BF,MRYGY17G010A178,MRYGY17G010E703,PD00,P11,141,1.08,33.43333333,0.355862069,10.73333333,6.264493103,0.58,-0.0077005,0.465306425,0.03125,35.1265896
G02,MRYGY18G0201083,21.40588235,0.680261438,-2.212848412,0.2010609,0.490819299,0.505467836,0.490819299,0.505467836,34.52850097,T1G01/T2G00,MRYGY17G010F431,MRYGY17G000F783,PD00,P10,150,0.83,22.08,0.2043,9.363,-2.223060527,0.666666667,0.2010609,0.548426783,0,21.40588235
G02,MRYGY18G0201083,21.40588235,0.680261438,-2.212848412,0.2010609,0.490819299,0.505467836,0.490819299,0.505467836,34.52850097,T1G01/T2G00,MRYGY17G010F431,MRYGY17G000F783,PD00,P11,136,0.82,20.75769231,0.221826923,9.125961538,-2.20302907,0.693333333,0.2010609,0.548426783,0,21.40588235
G02,MRYGY18G0201101,50.90582011,0.632134039,6.937210053,0.1005209,0.503487178,0.501466629,0.503487178,0.501466629,77.55569987,T1G01/T2G00,MRYGY17G010F133,MRYGY17G000E057,PD00,P10,181,1.67,54.29213483,0.469550562,12.37640449,7.021220225,0.593333333,0.1005209,0.508436043,0,50.90582011
G02,MRYGY18G0201101,50.90582011,0.632134039,6.937210053,0.1005209,0.503487178,0.501466629,0.503487178,0.501466629,77.55569987,T1G01/T2G00,MRYGY17G010F133,MRYGY17G000E057,PD00,P11,167,1.6,47.892,0.4722,11.9,6.862441,0.666666667,0.1005209,0.508436043,0,50.90582011
